filename,mode,jaccard_index,precision,recall,f1_score,f0.5_score,success_f1,success_f05
Fertigteil-TT-Platte---Entrée-TRA_RIP_STB_2700-x-480_Entrée_4-13843837.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
Rechteckiger-Pfosten-VF_PFT-T_L_60-x-200-8880687.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
Precast-Stair-Stair-3039290-Run-1.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
EG-A-1-1.json,Elements,0.5,0.5,1.0,0.667,0.556,0,0
Floor-OSB-22mm-4937655.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
Floor-Perimeterdämmung-4784219.json,Elements,1.0,1.0,1.0,1.0,1.0,1,1
Basic-Wall-Holzbau_Archisonic_Vorbauschale-2146702_L1.json,Target_Layers,1.0,1.0,1.0,1.0,1.0,1,1
Basic-Wall-WAN_ASW_DÄ-BET_300-5102504_L1.json,Target_Layers,1.0,1.0,1.0,1.0,1.0,1,1
Floor-DCH_BLECH_53-13862065_L3.json,Target_Layers,0.167,0.25,0.333,0.286,0.263,0,0
Floor-Finish-Floor---Wood-169093_L1.json,Target_Layers,0.286,1.0,0.286,0.444,0.667,0,0
Floor-BBA_BE-DÄ_120-Schmutzstreifen-12439757_L1.json,Target_Layers,0.0,0.0,0.0,0.0,0.0,0,0
Floor-Finish-Floor---Ceramic-Tile-169772_L2.json,Target_Layers,1.0,1.0,1.0,1.0,1.0,1,1
Floor-DCH_DÄ-AS_250-7601562_L3.json,Target_Layers,0.429,0.5,0.75,0.6,0.536,0,0
Basic-Wall-Holzfassade-hinterlüftet-1105047_L1.json,Target_Layers,1.0,1.0,1.0,1.0,1.0,1,1
Basic-Wall-FAS_ASW_DÄ-ABD_120-13861927_L3.json,Target_Layers,1.0,1.0,1.0,1.0,1.0,1,1
Floor-Residential---Wood-Joist-with-Subflooring-144800_L1.json,Target_Layers,0.75,1.0,0.75,0.857,0.938,1,1
Floor-BBA_BE-DÄ_100-BG1-7326415_L2.json,Target_Layers,0.417,0.417,1.0,0.588,0.472,0,0
Floor-DCH_DÄ-BLECH_113-11165689_L4.json,Target_Layers,0.273,0.75,0.3,0.429,0.577,0,0
Floor-Galerie-Fussbodenaufbau-1353081_L4.json,Target_Layers,1.0,1.0,1.0,1.0,1.0,1,1
Floor-DCH_DÄ-AS_250-7601562_L2.json,Target_Layers,0.0,0.0,0.0,0.0,0.0,0,0
Floor-Concrete---Existing---50-160-1699978_L1.json,Target_Layers,0.0,0.0,0.0,0.0,0.0,0,0
Floor-DCH_BLECH_53-13862065_L2.json,Target_Layers,1.0,1.0,1.0,1.0,1.0,1,1
Basic-Wall-Isolamin-100-2350191_L2.json,Target_Layers,0.333,1.0,0.333,0.5,0.714,0,1
Basic-Wall-Blechverkleidung-gedämmt-1829613_L2.json,Target_Layers,1.0,1.0,1.0,1.0,1.0,1,1
Basic-Wall-WAN_ASW_DÄ-PU_220-5059297_L1.json,Target_Layers,0.222,0.333,0.4,0.364,0.345,0,0
Floor-AHD_DÄ_150-10969563_L2.json,Target_Layers,1.0,1.0,1.0,1.0,1.0,1,1
